run,group,method,split,seed,sweep,best_val_auc,test.acc,test.balanced_acc,test.f1,test.threshold,test.auc,test.sensitivity,test.specificity,test_youden.acc,test_youden.balanced_acc,test_youden.f1,test_youden.threshold,test_youden.auc,test_youden.sensitivity,test_youden.specificity,test_screening.acc,test_screening.balanced_acc,test_screening.f1,test_screening.threshold,test_screening.auc,test_screening.sensitivity,test_screening.specificity,thr.youden,thr.screening,fair.bacc_gap,fair.sensitivity_gap,fair.n_strata,fair.min_stratum_n,fair.max_stratum_n,fair.worst_stratum,fair.worst_stratum_n,fair.worst_stratum_bacc,fair.bacc_gap_n10,fair.n_strata_n10,fair.bacc_gap_n20,fair.n_strata_n20,epochs,best_epoch
method-irm-0-s1-20260715-232411,method,irm,0,1,sweep-20260715-213431,0.986449864498645,0.7687224669603524,0.7330989844883384,0.6366782006920415,0.5,0.8398839415243834,0.6344827586206897,0.8317152103559871,0.76431718061674,0.7664657962280995,0.676737160120846,0.08762112259864807,0.8398839415243834,0.7724137931034483,0.7605177993527508,0.76431718061674,0.7664657962280995,0.676737160120846,0.08762112259864807,0.8398839415243834,0.7724137931034483,0.7605177993527508,0.08762112259864807,0.08762112259864807,0.2879464285714286,1.0,6,5,149,dark,5,0.5,0.12127976190476197,5,0.12127976190476197,5,28,12
method-irm-0-s2-20260715-233310,method,irm,0,2,sweep-20260715-213431,0.9918699186991871,0.7819383259911894,0.7318268050440799,0.6346863468634686,0.5,0.8509541345831939,0.593103448275862,0.8705501618122977,0.7334801762114538,0.7547929918535877,0.6610644257703081,0.0044259256683290005,0.8509541345831939,0.8137931034482758,0.6957928802588996,0.7334801762114538,0.7547929918535877,0.6610644257703081,0.0044259256683290005,0.8509541345831939,0.8137931034482758,0.6957928802588996,0.0044259256683290005,0.0044259256683290005,0.13461538461538458,0.33333333333333337,5,33,174,very_light,33,0.6153846153846154,0.13461538461538458,5,0.13461538461538458,5,51,35
method-irm-0-20260715-183611,method,irm,0,42,sweep-20260715-174842,0.997289972899729,0.6938325991189427,0.7348175426849681,0.638961038961039,0.5,0.833433768552617,0.8482758620689655,0.6213592233009708,0.76431718061674,0.7225421269947551,0.6219081272084805,0.942751944065094,0.833433768552617,0.6068965517241379,0.8381877022653722,0.76431718061674,0.7225421269947551,0.6219081272084805,0.942751944065094,0.833433768552617,0.6068965517241379,0.8381877022653722,0.942751944065094,0.942751944065094,0.40625,0.9375,6,10,152,dark,10,0.5,0.40625,6,0.2890456989247312,5,23,7
method-irm-1-s1-20260715-234918,method,irm,1,1,sweep-20260715-213431,0.9442622950819672,0.9234042553191489,0.811698717948718,0.6666666666666666,0.5,0.9155982905982906,0.6666666666666666,0.9567307692307693,0.9191489361702128,0.8092948717948718,0.6545454545454545,0.47443997859954834,0.9155982905982906,0.6666666666666666,0.9519230769230769,0.8808510638297873,0.8682336182336182,0.6216216216216216,0.04638789966702461,0.9155982905982906,0.8518518518518519,0.8846153846153846,0.47443997859954834,0.04638789966702461,0.4,0.8,6,2,67,tan,51,0.6,0.4,5,0.3920634920634921,4,44,28
method-irm-1-s2-20260716-001214,method,irm,1,2,sweep-20260715-213431,0.9449180327868852,0.9148936170212766,0.6779736467236468,0.5,0.5,0.9214743589743589,0.37037037037037035,0.9855769230769231,0.9148936170212766,0.7585470085470085,0.6,0.3099971413612366,0.9214743589743589,0.5555555555555556,0.9615384615384616,0.8468085106382979,0.849002849002849,0.5609756097560976,0.10650164633989334,0.9214743589743589,0.8518518518518519,0.8461538461538461,0.3099971413612366,0.10650164633989334,0.34397163120567376,0.6666666666666667,5,1,89,intermediate,50,0.6560283687943262,0.32926574885273263,4,0.32926574885273263,4,43,27
method-irm-1-20260715-184336,method,irm,1,42,sweep-20260715-174842,0.9816393442622952,0.9234042553191489,0.7794693732193732,0.64,0.5,0.9189814814814815,0.5925925925925926,0.9663461538461539,0.8851063829787233,0.806178774928775,0.5846153846153846,0.03943786770105362,0.9189814814814815,0.7037037037037037,0.9086538461538461,0.8212765957446808,0.8345797720797721,0.5227272727272727,0.0024261027574539185,0.9189814814814815,0.8518518518518519,0.8173076923076923,0.03943786770105362,0.0024261027574539185,0.4711111111111111,1.0,4,34,80,tan,48,0.4888888888888889,0.4711111111111111,4,0.4711111111111111,4,46,30
method-irm-2-s1-20260716-003440,method,irm,2,1,sweep-20260715-213431,0.9714912280701755,0.971830985915493,0.9642857142857143,0.9629629629629629,0.5,1.0,0.9285714285714286,1.0,0.9859154929577465,0.9821428571428572,0.9818181818181818,0.40522047877311707,1.0,0.9642857142857143,1.0,0.9154929577464789,0.9302325581395349,0.9032258064516129,0.006411978509277105,1.0,1.0,0.8604651162790697,0.40522047877311707,0.006411978509277105,0.0185185185185186,0.03703703703703709,6,1,65,very_light,65,0.9814814814814814,,1,,1,24,8
method-irm-2-s2-20260716-005105,method,irm,2,2,sweep-20260715-213431,0.9808114035087719,0.9577464788732394,0.9588870431893688,0.9473684210526315,0.5,0.9958471760797343,0.9642857142857143,0.9534883720930233,0.9295774647887324,0.9356312292358804,0.9152542372881356,0.2747463881969452,0.9958471760797343,0.9642857142857143,0.9069767441860465,0.9295774647887324,0.9356312292358804,0.9152542372881356,0.2747463881969452,0.9958471760797343,0.9642857142857143,0.9069767441860465,0.2747463881969452,0.2747463881969452,0.125,0.09090909090909094,6,7,30,light,11,0.875,0.053229665071770293,2,,1,42,26
method-irm-2-20260715-190732,method,irm,2,42,sweep-20260715-174842,0.987390350877193,0.9436619718309859,0.9285714285714286,0.9230769230769231,0.5,0.9900332225913622,0.8571428571428571,1.0,0.9295774647887324,0.9356312292358804,0.9152542372881356,0.016739703714847565,0.9900332225913622,0.9642857142857143,0.9069767441860465,0.9295774647887324,0.9356312292358804,0.9152542372881356,0.016739703714847565,0.9900332225913622,0.9642857142857143,0.9069767441860465,0.016739703714847565,0.016739703714847565,0.25,0.052631578947368474,6,1,49,light,4,0.75,,1,,1,24,8
method-irm-indist-s1-20260715-223337,method,irm,indist,1,sweep-20260715-213431,0.989648033126294,0.8403361344537815,0.8836553945249597,0.7323943661971831,0.5,0.961352657004831,0.9629629629629629,0.8043478260869565,0.8991596638655462,0.9086151368760065,0.8064516129032258,0.7830172181129456,0.961352657004831,0.9259259259259259,0.8913043478260869,0.7815126050420168,0.8456119162640902,0.6666666666666666,0.3183740973472595,0.961352657004831,0.9629629629629629,0.7282608695652174,0.7830172181129456,0.3183740973472595,0.24838709677419357,0.4,6,7,36,tan,36,0.7516129032258064,0.18838709677419352,4,0.18838709677419352,3,42,26
