method,seed,test.auc,test_youden.balanced_acc,test_youden.sensitivity,test_youden.specificity,fair.bacc_gap,fair.bacc_gap_n20,fair.worst_stratum,fair.worst_stratum_n,fair.min_stratum_n,epochs
ours_full,42,0.9665861513687601,0.8671497584541064,0.7777777777777778,0.9565217391304348,0.5,0.01321905573823734,brown,2,1,26
ours_no_causal,42,0.9677938808373591,0.9249194847020934,0.9259259259259259,0.9239130434782609,0.09999999999999998,,intermediate,7,1,23
ours_no_disent,42,0.9822866344605474,0.9249194847020934,0.9259259259259259,0.9239130434782609,0.3052631578947369,0.2905572755417958,intermediate,24,1,49
ours_no_lora,42,0.5,0.5,1.0,0.0,0.5,0.0,brown,2,2,18
ours_no_mixstyle,42,0.9710144927536232,0.9281400966183575,0.8888888888888888,0.967391304347826,0.33333333333333337,0.2860644257703081,light,23,1,39
ours_no_scin,42,0.9770531400966184,0.9565217391304348,1.0,0.9130434782608695,0.08333333333333326,0.030588235294117694,tan,10,1,31
