run,method,split,seed,epoch,train_loss,val_acc,val_balanced_acc,val_f1,val_threshold,val_auc,val_sensitivity,val_specificity
method-erm-indist-20260715-174843,erm,indist,42,0,0.6397915447459501,0.8230088495575221,0.6524327122153208,0.4444444444444444,0.5,0.8090062111801242,0.38095238095238093,0.9239130434782609
method-erm-indist-20260715-174843,erm,indist,42,1,0.4776591272915111,0.6991150442477876,0.7784679089026916,0.5277777777777778,0.5,0.8747412008281574,0.9047619047619048,0.6521739130434783
method-erm-indist-20260715-174843,erm,indist,42,2,0.2859988265177783,0.9203539823008849,0.8775879917184265,0.7906976744186046,0.5,0.9523809523809523,0.8095238095238095,0.9456521739130435
method-erm-indist-20260715-174843,erm,indist,42,3,0.17974580035490148,0.911504424778761,0.9089026915113871,0.7916666666666666,0.5,0.9746376811594203,0.9047619047619048,0.9130434782608695
method-erm-indist-20260715-174843,erm,indist,42,4,0.12216733878149706,0.9203539823008849,0.822463768115942,0.7567567567567568,0.5,0.9642857142857142,0.6666666666666666,0.9782608695652174
method-erm-indist-20260715-174843,erm,indist,42,5,0.12462262305266716,0.9026548672566371,0.9218426501035196,0.7843137254901961,0.5,0.9694616977225673,0.9523809523809523,0.8913043478260869
method-erm-indist-20260715-174843,erm,indist,42,6,0.05999453628764433,0.9469026548672567,0.9122670807453416,0.8571428571428571,0.5,0.9787784679089027,0.8571428571428571,0.967391304347826
method-erm-indist-20260715-174843,erm,indist,42,7,0.043770531301989275,0.9734513274336283,0.9653209109730849,0.9302325581395349,0.5,0.9824016563146998,0.9523809523809523,0.9782608695652174
method-erm-indist-20260715-174843,erm,indist,42,8,0.021037209121619955,0.9557522123893806,0.9360766045548654,0.8837209302325582,0.5,0.979296066252588,0.9047619047619048,0.967391304347826
method-erm-indist-20260715-174843,erm,indist,42,9,0.012421616736580344,0.8938053097345132,0.9347826086956521,0.7777777777777778,0.5,0.9834368530020704,1.0,0.8695652173913043
method-erm-indist-20260715-174843,erm,indist,42,10,0.01300727334969184,0.9203539823008849,0.9327122153209109,0.8163265306122449,0.5,0.9761904761904762,0.9523809523809523,0.9130434782608695
method-erm-indist-20260715-174843,erm,indist,42,11,0.010373707641573512,0.9292035398230089,0.9013975155279503,0.8181818181818182,0.5,0.9818840579710145,0.8571428571428571,0.9456521739130435
method-erm-indist-20260715-174843,erm,indist,42,12,0.02639858775279101,0.9469026548672567,0.9306418219461698,0.8636363636363636,0.5,0.9834368530020704,0.9047619047619048,0.9565217391304348
method-erm-indist-20260715-174843,erm,indist,42,13,0.013443896437392515,0.9646017699115044,0.9598861283643891,0.9090909090909091,0.5,0.9824016563146998,0.9523809523809523,0.967391304347826
method-erm-indist-20260715-174843,erm,indist,42,14,0.005085404085762361,0.9292035398230089,0.8462732919254659,0.7894736842105263,0.5,0.9849896480331263,0.7142857142857143,0.9782608695652174
method-erm-indist-20260715-174843,erm,indist,42,15,0.021007834769347134,0.8407079646017699,0.8837991718426501,0.6896551724137931,0.5,0.9746376811594203,0.9523809523809523,0.8152173913043478
method-erm-indist-20260715-174843,erm,indist,42,16,0.021025399513104382,0.7699115044247787,0.8403209109730849,0.6060606060606061,0.5,0.9627329192546584,0.9523809523809523,0.7282608695652174
method-erm-indist-20260715-174843,erm,indist,42,17,0.03301998446969425,0.9203539823008849,0.8408385093167702,0.7692307692307693,0.5,0.9653209109730848,0.7142857142857143,0.967391304347826
method-erm-indist-20260715-174843,erm,indist,42,18,0.0263496091698899,0.9469026548672567,0.9306418219461698,0.8636363636363636,0.5,0.967391304347826,0.9047619047619048,0.9565217391304348
method-erm-indist-20260715-174843,erm,indist,42,19,0.058185537948327905,0.9203539823008849,0.9327122153209109,0.8163265306122449,0.5,0.9622153209109731,0.9523809523809523,0.9130434782608695
method-erm-indist-20260715-174843,erm,indist,42,20,0.02602681429947124,0.9469026548672567,0.8571428571428572,0.8333333333333334,0.5,0.9554865424430642,0.7142857142857143,1.0
method-erm-indist-20260715-174843,erm,indist,42,21,0.020529791274491477,0.9380530973451328,0.8517080745341614,0.8108108108108109,0.5,0.979296066252588,0.7142857142857143,0.9891304347826086
method-erm-indist-20260715-174843,erm,indist,42,22,0.0058054536142769985,0.9469026548672567,0.9306418219461698,0.8636363636363636,0.5,0.9704968944099379,0.9047619047619048,0.9565217391304348
method-erm-indist-20260715-174843,erm,indist,42,23,0.007901089813779382,0.9469026548672567,0.9122670807453416,0.8571428571428571,0.5,0.9767080745341615,0.8571428571428571,0.967391304347826
method-erm-indist-20260715-174843,erm,indist,42,24,0.0045847579398575955,0.9557522123893806,0.9360766045548654,0.8837209302325582,0.5,0.9829192546583851,0.9047619047619048,0.967391304347826
method-erm-indist-20260715-174843,erm,indist,42,25,0.0023853204706135917,0.9469026548672567,0.9122670807453416,0.8571428571428571,0.5,0.9839544513457557,0.8571428571428571,0.967391304347826
method-erm-indist-20260715-174843,erm,indist,42,26,0.0038299652583458845,0.9380530973451328,0.8517080745341614,0.8108108108108109,0.5,0.9860248447204969,0.7142857142857143,0.9891304347826086
method-erm-indist-20260715-174843,erm,indist,42,27,0.00292093087645138,0.9469026548672567,0.9122670807453416,0.8571428571428571,0.5,0.9834368530020704,0.8571428571428571,0.967391304347826
method-erm-indist-20260715-174843,erm,indist,42,28,0.001263633370399475,0.9469026548672567,0.9122670807453416,0.8571428571428571,0.5,0.9798136645962733,0.8571428571428571,0.967391304347826
method-erm-indist-20260715-174843,erm,indist,42,29,0.0006743840434971978,0.9469026548672567,0.9122670807453416,0.8571428571428571,0.5,0.9787784679089027,0.8571428571428571,0.967391304347826
method-erm-indist-20260715-174843,erm,indist,42,30,0.0003273925360511331,0.9469026548672567,0.9122670807453416,0.8571428571428571,0.5,0.9777432712215322,0.8571428571428571,0.967391304347826
method-erm-indist-20260715-174843,erm,indist,42,31,0.0001972122665713815,0.9469026548672567,0.9122670807453416,0.8571428571428571,0.5,0.9772256728778468,0.8571428571428571,0.967391304347826
method-erm-indist-20260715-174843,erm,indist,42,32,0.0004517219084150651,0.9469026548672567,0.9122670807453416,0.8571428571428571,0.5,0.9782608695652175,0.8571428571428571,0.967391304347826
