group,name,split,seed,balanced_acc,auc,sensitivity,specificity,f1,acc,error,outdir
method,erm,indist,42,0.9281400966183575,0.9653784219001611,0.8888888888888888,0.967391304347826,0.8888888888888888,0.9495798319327731,,experiments/method-erm-indist-20260715-174843
method,erm,0,42,0.7625934605512777,0.8431425064166946,0.7517241379310344,0.7734627831715211,0.6728395061728395,0.7665198237885462,,experiments/method-erm-0-20260715-175910
method,erm,1,42,0.8393874643874644,0.9225427350427351,0.8518518518518519,0.8269230769230769,0.5348837209302325,0.8297872340425532,,experiments/method-erm-1-20260715-180318
method,erm,2,42,0.970514950166113,0.9958471760797342,0.9642857142857143,0.9767441860465116,0.9642857142857143,0.971830985915493,,experiments/method-erm-2-20260715-180826
method,irm,indist,42,0.9357890499194848,0.9802737520128825,0.9259259259259259,0.9456521739130435,0.8771929824561403,0.9411764705882353,,experiments/method-irm-indist-20260715-181917
method,irm,0,42,0.7348175426849681,0.833433768552617,0.8482758620689655,0.6213592233009708,0.638961038961039,0.6938325991189427,,experiments/method-irm-0-20260715-183611
method,irm,1,42,0.7794693732193732,0.9189814814814815,0.5925925925925926,0.9663461538461539,0.64,0.9234042553191489,,experiments/method-irm-1-20260715-184336
method,irm,2,42,0.9285714285714286,0.9900332225913622,0.8571428571428571,1.0,0.9230769230769231,0.9436619718309859,,experiments/method-irm-2-20260715-190732
method,groupdro,indist,42,0.9172705314009661,0.9581320450885669,0.8888888888888888,0.9456521739130435,0.8571428571428571,0.9327731092436975,,experiments/method-groupdro-indist-20260715-192357
method,groupdro,0,42,0.7298627385336458,0.8222519808057136,0.6344827586206897,0.8252427184466019,0.6323024054982818,0.76431718061674,,experiments/method-groupdro-0-20260715-192918
method,groupdro,1,42,0.8624465811965811,0.915954415954416,0.7777777777777778,0.9471153846153846,0.711864406779661,0.9276595744680851,,experiments/method-groupdro-1-20260715-193300
method,groupdro,2,42,0.9821428571428572,0.9916943521594684,0.9642857142857143,1.0,0.9818181818181818,0.9859154929577465,,experiments/method-groupdro-2-20260715-193810
method,ours,indist,42,0.8856682769726247,0.9665861513687601,0.8148148148148148,0.9565217391304348,0.8301886792452831,0.9243697478991597,,experiments/method-ours-indist-20260715-194846
method,ours,0,42,0.7601830152884723,0.851779935275081,0.6206896551724138,0.8996763754045307,0.6766917293233082,0.8105726872246696,,experiments/method-ours-0-20260715-195558
method,ours,1,42,0.8874643874643875,0.9423076923076923,0.8518518518518519,0.9230769230769231,0.696969696969697,0.9148936170212766,,experiments/method-ours-1-20260715-195920
method,ours,2,42,0.9464285714285714,0.9908637873754154,0.8928571428571429,1.0,0.9433962264150944,0.9577464788732394,,experiments/method-ours-2-20260715-200659
method,ours_bg,indist,42,0.893317230273752,0.9758454106280194,0.8518518518518519,0.9347826086956522,0.8214285714285714,0.9159663865546218,,experiments/method-ours_bg-indist-20260715-201530
method,ours_bg,0,42,0.769780158464457,0.8529182010936279,0.8275862068965517,0.7119741100323624,0.6779661016949152,0.748898678414097,,experiments/method-ours_bg-0-20260715-202443
method,ours_bg,1,42,0.8020833333333333,0.936965811965812,0.6666666666666666,0.9375,0.6206896551724138,0.9063829787234042,,experiments/method-ours_bg-1-20260715-202848
method,ours_bg,2,42,0.9285714285714286,0.9983388704318936,0.8571428571428571,1.0,0.9230769230769231,0.9436619718309859,,experiments/method-ours_bg-2-20260715-203507
